URL	Name	Price	Brand	Response Time	Refresh Rate	Resolution	Panel
https://www.newegg.com/asus-xg248qsg-24-1-fhd-610-hz-rog-strix-super-tn-black/p/N82E16824281383?recaptcha=pass	ASUS ROG Strix XG248QSG Ace Esports Gaming Monitor — 24.1" FHD (1920 x 1080) Super TN panel, 610Hz refresh rate (overclocked), 0.1ms response time (min.), ELMB 2, VRR, DisplayHDR™ 400, HDMI 2.1	$999.00	ASUS	0.1 ms(min)/0.7 ms(GTG)	610 Hz	1920 x 1080	Super TN
https://www.newegg.com/samsung-g60sd-27-qhd-360-hz-qd-oled-g6-silver/p/N82E16824027372?recaptcha=pass	SAMSUNG 27" Odyssey QD-OLED G6 (G60SF) Gaming Monitor QHD Max 500Hz 0.03ms FreeSync Premium & G-Sync Compatible 99% (CIE1976)	$849.99	SAMSUNG	0.03 ms	Max 500Hz	2560 x 1440 (2K)	OLED
https://www.newegg.com/p/N82E16824475510?recaptcha=pass	MSI MAG 274QPF X30MV 27-inch 2560 x 1440 (QHD) Gaming Monitor, 300Hz, Adaptive-Synch, HDMI, DisplayPort, VESA Mountable, Tilt, Height Adjustable, Speaker, 0.5ms, Black	$399.99	MSI	0.50 ms	300 Hz	2560 x 1440 (2K)	Rapid VA with Mini-LED (1152 Zones)
https://www.newegg.com/msi-pro-mp251w-e2-24-5-fhd-120-hz-ips-matte-white/p/N82E16824475436?recaptcha=pass	MSI PRO MP251W E2 Gaming Monitor 24.5-inch IPS 1920 x 1080 (FHD), 120Hz, Adaptive Sync, HDR Ready, HDMI, VGA Port, Display Port,VESA Mountable, Tilt, Speaker, 4-side slim bezel ,1ms, White	$119.99	MSI	1ms (MPRT) / 4ms (GTG)	120 Hz	1920 x 1080	IPS
https://www.newegg.com/msi-mag345cqr-34-uwqhd-180-hz-va-metallic-black-rgb/p/N82E16824475371?recaptcha=pass	MSI MAG345CQR Curved Gaming Monitor UWQHD(3440x1440) 34" 180Hz VA w/ AMD FreeSync Premium, Dual HDMI, DisplayPort, Black	$298.99	MSI	1ms (MPRT)	180 Hz	3440 x 1440 (2K)	VA
https://www.newegg.com/gigabyte-gs34wqc-34-wqhd-120hz-oc-135hz-va-black/p/N82E16824012067?recaptcha=pass	GIGABYTE - GS34WQC - 34" VA Curved Gaming Monitor - WQHD 3440x1440 - 120Hz/OC 135Hz - 1ms MPRT - AMD FreeSync Premium - HDMI, DP - Black	$249.99	GIGABYTE	1ms (MPRT)	120Hz / OC 135Hz	3440 x 1440 (2K)	VA
https://www.newegg.com/lg-27gx790a-b-aus-27-qhd-480-hz-ultragear-oled-black/p/N82E16824026450?recaptcha=pass	LG UltraGear 27" 480 Hz OLED QHD Gaming Monitor 0.03ms Nvidia G-Sync Compatible 2560 x 1440 (2K) DCI-P3 98.5% 27GX790A-B	$749.99	LG	0.03ms (GtG)	480 Hz	2560 x 1440 (2K)	OLED
https://www.newegg.com/acer-kg271u-pbiip-27-qhd-170hz-using-display-port-144hz-using-hdmi-port-va-black/p/N82E16824011452?recaptcha=pass	Acer 27” 170Hz 2K Gaming Monitor 1ms AMD FreeSync Premium, WQHD (2560 x 1440), HDR Support (1 x Display Port 1.2 & 2 x HDMI 2.0 Ports) Nitro KG271U Pbiip	$148.99	Acer	1 ms	170Hz using Display Port 144Hz using HDMI Port	2560 x 1440 (2K)	VA
https://www.newegg.com/p/N82E16824012101?recaptcha=pass	GIGABYTE - GS27U - 27" SS IPS Gaming Monitor - UHD 3840x2160 - 160Hz - 1ms MPRT - AMD FreeSync Premium - HDMI, DP - Black	$299.99	GIGABYTE	1 ms	160 Hz	3840 x 2160 (4K)	Super Speed IPS
https://www.newegg.com/lg-32gp750-b-32-qhd-165-hz-ultragear-ips/p/N82E16824026321?recaptcha=pass	LG 32" 165 Hz IPS QHD Gaming Monitor Nvidia G-Sync Compatible 2560 x 1440 (2K) sRGB 99% (CIE1931) UltraGear 32GP750-B	$399.99	LG	1 ms (GtG at Faster)	165 Hz	2560 x 1440 (2K)	IPS
